Time_h,Substrate_g_L,Cells_g_L,Product_g_L,Yield
0.0,100.0,0.1,0.0,0.0
0.7272727272727273,99.9413393360284,0.11889675149303096,0.006901254509715658,0.11764705734140429
1.4545454545454546,99.87167127055336,0.14134058469381042,0.015097497417493982,0.11764705745027554
2.1818181818181817,99.78896153093962,0.1679875284126653,0.024828054913113386,0.11764705748620985
2.909090909090909,99.69081291432856,0.1996108573311876,0.0363749508592199,0.11764705750391329
3.6363636363636367,99.57440544230775,0.23712051220223243,0.05006994741836646,0.1176470575143201
4.363636363636363,99.43642956707559,0.2815848140320869,0.06630240315120871,0.11764705752109107
5.090909090909091,99.2730113631279,0.3342548387857272,0.08552807399444762,0.11764705752578464
5.818181818181818,99.07963078828146,0.39659113143622804,0.10827872961090725,0.11764705752918628
6.545454545454546,98.851034056941,0.47029246236299826,0.13517246241682268,0.11764705753172806
7.272727272727273,98.58114265384624,0.557325860434741,0.1669243918467966,0.1176470575336774
8.0,98.26296256711204,0.6599568367034776,0.20435734281952586,0.1176470575351973
8.727272727272727,97.88849992387988,0.7807778866587172,0.24841177095517852,0.11764705753639845
9.454545454545455,97.44869150640332,0.9227326400969689,0.30015393715348543,0.11764705753735882
10.181818181818182,96.93336201534261,1.0891319508540176,0.3607809354413806,0.1176470575381342
10.90909090909091,96.33122384549047,1.2836569748481668,0.43162071935819324,0.11764705753876414
11.636363636363637,95.62993945026882,1.5103428942353205,0.5141247649561217,0.11764705753927895
12.363636363636363,94.8162705100725,1.773535585664643,0.6098505215835122,0.11764705753970135
13.090909090909092,93.8763410327137,2.0778125263728744,0.7204304588917372,0.1176470575400496
13.818181818181818,92.79604285457992,2.4278586777408857,0.8475243608171273,0.11764705754033769
14.545454545454547,91.5616083081448,2.828289077614701,0.9927519529333788,0.11764705754057679
15.272727272727273,90.1603665686629,3.2834122195855966,1.157603920488418,0.11764705754077537
16.0,88.58167950211906,3.79693460395407,1.3433318086468662,0.11764705754094068
16.727272727272727,86.8180290930787,4.37161401192543,1.5508200898031574,0.11764705754107854
17.454545454545453,84.86618985189675,5.008881107766562,1.7804482333231695,0.11764705754119373
18.181818181818183,82.72837816093563,5.70846206245493,2.0319554883435704,0.11764705754128997
18.90909090909091,80.41323266594301,6.468047187260107,2.3043255436110037,0.11764705754137054
19.636363636363637,77.93645543189203,7.283059092430392,2.5957110973840445,0.11764705754143798
20.363636363636363,75.32094771735457,8.146573913516594,2.903417883977701,0.11764705754149443
21.09090909090909,72.59631601111307,9.049437678117071,3.2239627871025744,0.11764705754154188
21.81818181818182,69.79770432154261,9.980596283066756,3.5532112175831037,0.11764705754158164
22.545454545454547,66.96402194503646,10.927623148127001,3.8865856111875914,0.11764705754161503
23.272727272727273,64.13573466852348,11.877397513557137,4.219325287152738,0.11764705754164308
24.0,61.352493825934204,12.816851860372529,4.546765382714004,0.11764705754166674
24.727272727272727,58.65089085330835,13.733699858438763,4.864601023090079,0.11764705754168663
25.454545454545457,56.06260841323545,14.617058260635485,5.169104836252208,0.11764705754170339
26.181818181818183,53.613151873997964,15.45790017615963,5.457276190670437,0.1176470575417175
26.90909090909091,51.32123531393552,16.249309339595108,5.7269134300935,0.11764705754172944
27.636363636363637,49.19878819101058,16.98653818622685,5.976613088894042,0.11764705754173954
28.363636363636363,47.251465481668895,17.666899610150132,6.205709875732749,0.11764705754174808
29.090909090909093,45.47950256175571,18.289537468047225,6.414176099334016,0.11764705754175535
29.81818181818182,43.8787501188902,18.855125345133082,6.602499914090264,0.11764705754176148
30.545454545454547,42.44174740989828,19.365538406108264,6.7715590544830055,0.11764705754176671
31.272727272727273,41.15873044656156,19.823533044619758,6.922502224996005,0.11764705754177117
32.0,40.01851051071322,20.232457659752114,7.056645745399257,0.11764705754177496
32.72727272727273,39.00919378079422,20.596007260803777,7.17538888880211,0.11764705754177818
33.45454545454545,38.118738719835065,20.918026061585138,7.280148306597311,0.11764705754178095
34.18181818181818,37.3353643181434,21.202356478036975,7.372309999910037,0.11764705754178333
34.90909090909091,36.64783087457587,21.45272949894013,7.453196286507456,0.11764705754178537
35.63636363636364,36.0456177385665,21.67268985891389,7.524044889972082,0.11764705754178713
36.36363636363637,35.519021612444575,21.865549132068256,7.585997374723328,0.11764705754178864
37.09090909090909,35.05919618154882,22.034360335816878,7.640094483651182,0.11764705754178993
37.81818181818182,34.6581502330842,22.181908488806744,7.687276359427173,0.11764705754179103
38.54545454545455,34.30871827196109,22.310712433662605,7.728386001464428,0.11764705754179199
39.27272727272727,34.004512834113,22.42303455642208,7.764174876115522,0.11764705754179282
40.0,33.73986755921273,22.520895263207212,7.795309613999924,0.11764705754179354
40.72727272727273,33.50977541286475,22.60609037318754,7.822379277981282,0.11764705754179414
41.45454545454545,33.30982615878307,22.68020984383263,7.845902719381703,0.11764705754179468
42.18181818181818,33.13614548254764,22.74465677256399,7.866335739892702,0.11764705754179516
42.909090909090914,32.98533730844957,22.800665964645177,7.8840778778286165,0.11764705754179554
43.63636363636364,32.85443010251452,22.849321638388258,7.899478725417916,0.11764705754179589
44.36363636363637,32.74082771496621,22.891573945286293,7.912843712042719,0.11764705754179618
45.09090909090909,32.64226490214439,22.928254145310937,7.924439336954265,0.11764705754179643
45.81818181818182,32.55676714379657,22.960088508360094,7.9344978966503215,0.11764705754179668
46.54545454545455,32.48261484727888,22.987710825353386,7.943221696145606,0.11764705754179684
47.27272727272727,32.418311612529344,23.011673605928248,7.95078678250432,0.11764705754179702
48.0,32.36255606492324,23.032458097075,7.957346258621819,0.11764705754179715
48.72727272727273,32.31421705489938,23.05048315983675,7.963033200915618,0.11764705754179729
49.45454545454545,32.27231180230088,23.066113141395267,7.967963230579386,0.1176470575417974
50.18181818181818,32.235986824168755,23.07966477876957,7.972236757371906,0.11764705754179747
50.909090909090914,32.20450114274524,23.091413300471274,7.975940955146085,0.11764705754179755
51.63636363636364,32.17721162217512,23.10159777649839,7.979151486942891,0.11764705754179762
52.36363636363637,32.15356020847246,23.11042578921394,7.9819340061717154,0.11764705754179768
53.09090909090909,32.13306277043459,23.11807752825799,7.984345469444021,0.11764705754179773
53.81818181818182,32.115299380032944,23.124709366053402,7.986435280056744,0.11764705754179779
54.54545454545455,32.09990584392418,23.130456980047498,7.988246284285107,0.11764705754179781
55.27272727272727,32.08656636789599,23.13543806193462,7.989815634388974,0.11764705754179783
56.0,32.075007152149475,23.139754686755666,7.991175542109046,0.1176470575417979
56.72727272727273,32.064990794022734,23.143495384127053,7.992353937169943,0.11764705754179791
57.45454545454545,32.05631152261569,23.146736908474438,7.993375027912591,0.11764705754179794
58.18181818181819,32.04879095365767,23.149545811981405,7.994259800721543,0.11764705754179797
58.909090909090914,32.042274509628974,23.15197977670107,7.995026441187155,0.11764705754179798
59.63636363636364,32.03662817573646,23.15408881902629,7.99569071575551,0.117647057541798
60.36363636363637,32.03173583764732,23.155916281067956,7.996266284936198,0.117647057541798
61.09090909090909,32.02749682742114,23.157499743414053,7.996764992016197,0.11764705754179801
61.81818181818182,32.023823931642255,23.158871767557272,7.997197097397242,0.11764705754179802
62.54545454545455,32.02064157333877,23.16006057299697,7.997571492487691,0.11764705754179802
63.27272727272727,32.01788424401099,23.161090621674727,7.997895884169778,0.11764705754179802
64.0,32.01549519463714,23.16198310613133,7.998176948798934,0.11764705754179802
64.72727272727273,32.013425239905,23.1627563953172,7.998420472882415,0.11764705754179802
65.45454545454545,32.0116317755582,23.163426401284113,7.998631468685622,0.11764705754179804
66.18181818181819,32.01007787276948,23.164006916957273,7.998814280776423,0.11764705754179804
66.9090909090909,32.00873152912674,23.164509895711248,7.998972674144431,0.11764705754179806
67.63636363636364,32.00756503078762,23.164945689452864,7.999109909241657,0.11764705754179806
68.36363636363636,32.006554348294735,23.16532327409217,7.999228813063054,0.11764705754179808
69.0909090909091,32.005678678677576,23.165650420548054,7.9993318330168925,0.11764705754179809
69.81818181818181,32.004919981626266,23.165933867878937,7.999421091492544,0.11764705754179809
70.54545454545455,32.004262633191395,23.16617945261956,7.999498426601687,0.11764705754179808
71.27272727272728,32.00369309694592,23.166392231562263,7.999565430865131,0.11764705754179809
72.0,32.00319964175667,23.16657658715826,7.999623484416175,0.11764705754179812
